--- Level 6 Stronghold Coordinates ---
Sorted by X-group (0-99, 100-199, ...) then by Y-axis

(394, 400)
(395, 422)
(392, 487)
(396, 500)
(376, 576)
(387, 590)
(390, 591)
(391, 595)
(400, 382)
(411, 393)
(419, 409)
(473, 411)
(402, 414)
(474, 419)
(426, 420)
(407, 422)
(477, 423)
(405, 426)
(402, 442)
(485, 448)
(449, 475)
(406, 485)
(420, 485)
(449, 499)
(414, 506)
(437, 506)
(419, 522)
(411, 537)
(409, 558)
(479, 560)
(476, 563)
(417, 578)
(494, 578)
(479, 578)
(488, 583)
(463, 588)
(433, 599)
(498, 610)
(410, 613)
(424, 616)
(406, 618)
(513, 375)
(592, 375)
(521, 394)
(550, 402)
(541, 404)
(543, 408)
(595, 408)
(564, 409)
(578, 411)
(549, 419)
(561, 422)
(520, 424)
(590, 433)
(577, 436)
(597, 458)
(584, 462)
(557, 476)
(550, 477)
(572, 483)
(577, 491)
(578, 498)
(587, 518)
(518, 557)
(592, 573)
(563, 579)
(592, 581)
(559, 583)
(538, 584)
(525, 585)
(575, 585)
(563, 593)
(580, 597)
(578, 620)
(587, 620)
(603, 412)
(621, 415)
(608, 502)
(622, 505)
(601, 580)
